date,campaign,adset_name,ad_name,spend,impressions,actions_link_click,actions_landing_page_view
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,"40,04",2878,16,1
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,"86,64",5862,41,1
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,"204,66",17136,259,20
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,"78,85",6254,30,0
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,"20,32",1786,14,1
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_002_ANUNCIO PETRO 02,0,2,0,0
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,"632,4",57433,737,32
31/03/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,"0,11",3,0,0
31/03/2025,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 31-03-25 | Teste de criativos || CORRETA,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 3,ADS_003_ANUNCIO PETRO 03,"0,03",2,0,0
01/04/2025,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,"2,37",115,0,0
