data,utm campaign,utm medium,utm content,spend,impressions,actions_link_click,actions_landing_page_view
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,40.04,2878.0,16.0,1.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,86.64,5862.0,41.0,1.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,204.66,17136.0,259.0,20.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,78.85,6254.0,30.0,0.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,20.32,1786.0,14.0,1.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_002_ANUNCIO PETRO 02,0.0,2.0,0.0,0.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,632.4,57433.0,737.0,32.0
2025-03-31,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.11,3.0,0.0,0.0
2025-03-31,SSP-L12 | CAPTACAO | ABO | QUENTE | ALL | BR | 31-03-25 | Teste de criativos || CORRETA,00 | AUTO | MIX DE PUBLICOS | CRIATIVO 3,ADS_003_ANUNCIO PETRO 03,0.03,2.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,2.37,115.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,37.41,3336.0,31.0,1.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,925.44,66954.0,542.0,28.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,1.79,121.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,20.18,1694.0,20.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,702.57,47107.0,491.0,24.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.07,2.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,113.46,8546.0,165.0,126.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,18.45,2279.0,22.0,15.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.2,12.0,2.0,2.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,61.88,4233.0,84.0,65.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,5.29,636.0,5.0,3.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,0.05,10.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | INTERESSES | PETROBRAS,ADS_003_ANUNCIO PETRO 03,0.05,1.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.29,7.0,0.0,0.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_001_ ANUNCIO PETRO 01,4.44,322.0,3.0,3.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_003_ ANUNCIO PETRO 03,2.56,207.0,2.0,1.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_002_ ANUNCIO PETRO 02,8.59,846.0,9.0,7.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 30D,AD_001_ ANUNCIO PETRO 01,0.53,63.0,1.0,1.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 30D,AD_002_ ANUNCIO PETRO 02,0.04,11.0,1.0,1.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_003_ ANUNCIO PETRO 03,1.12,83.0,2.0,2.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_002_ ANUNCIO PETRO 02,2.27,232.0,5.0,1.0
2025-04-01,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | LEADS GERAL,AD_001_ ANUNCIO PETRO 01,18.86,1702.0,42.0,35.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.2,25.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,16.05,1855.0,24.0,16.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,203.63,17303.0,304.0,191.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,0.36,51.0,1.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,6.72,826.0,13.0,10.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,116.5,10191.0,171.0,118.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.13,4.0,1.0,1.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_001_ANUNCIO PETRO 01,186.25,17230.0,260.0,166.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_002_ANUNCIO PETRO 02,23.69,3323.0,36.0,25.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1% | ENVOLVIMENTO IG 7D,ADS_003_ANUNCIO PETRO 03,0.09,11.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_001_ANUNCIO PETRO 01,78.59,6682.0,132.0,92.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_002_ANUNCIO PETRO 02,4.84,691.0,8.0,4.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | LAL | 1%  | ENVOLVIMENTO IG 14D,ADS_003_ANUNCIO PETRO 03,0.12,18.0,0.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | Lookalike e Interesses  | Teste de página,00 | AUTO | INTERESSES | PETROBRAS,ADS_001_ANUNCIO PETRO 01,0.07,7.0,1.0,0.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_001_ ANUNCIO PETRO 01,0.59,38.0,1.0,1.0
2025-04-02,SSP-L12 | CAPTACAO | CBO | FRIO | ALL | BR | 31-03-25 | LL | TESTE,00 | AUTO | LAL | 1% | ENVOLVIMENTO | 14D,AD_003_ ANUNCIO PETRO 03,0.14,10.0,0.0,0.0
